GDP,IPOs,M&A_Activities,FFR_rate
21058.379,118,435739,0.09
21058.379,118,435739,0.09
21058.379,118,435739,0.09
21058.379,118,435739,0.09
21058.379,118,435739,0.09
21058.379,118,435739,0.09
21058.379,118,435739,0.09
21058.379,118,435739,0.09
21058.379,118,435739,0.09
21058.379,118,435739,0.09
21058.379,118,435739,0.09
21058.379,118,435739,0.09
21058.379,118,435739,0.08
21058.379,118,435739,0.08
21058.379,118,435739,0.08
21058.379,118,435739,0.08
21058.379,118,435739,0.08
21058.379,118,435739,0.07
21058.379,118,435739,0.07
21058.379,132,435739,0.08
21058.379,132,435739,0.08
21058.379,132,435739,0.08
21058.379,132,435739,0.08
21058.379,132,435739,0.08
21058.379,132,435739,0.07
21058.379,132,435739,0.08
21058.379,132,435739,0.08
21058.379,132,435739,0.08
21058.379,132,435739,0.08
21058.379,132,435739,0.08
21058.379,132,435739,0.08
21058.379,132,435739,0.07
21058.379,132,435739,0.07
21058.379,132,435739,0.07
21058.379,132,435739,0.07
21058.379,132,435739,0.07
21058.379,132,435739,0.07
21058.379,132,435739,0.07
21058.379,151,435739,0.07
21058.379,151,435739,0.07
21058.379,151,435739,0.07
21058.379,151,435739,0.07
21058.379,151,435739,0.07
21058.379,151,435739,0.07
21058.379,151,435739,0.07
21058.379,151,435739,0.07
21058.379,151,435739,0.07
21058.379,151,435739,0.07
21058.379,151,435739,0.07
21058.379,151,435739,0.07
21058.379,151,435739,0.07
21058.379,151,435739,0.07
21058.379,151,435739,0.07
21058.379,151,435739,0.07
21058.379,151,435739,0.07
21058.379,151,435739,0.07
21058.379,151,435739,0.07
21058.379,151,435739,0.07
21058.379,151,435739,0.07
21058.379,151,435739,0.07
21058.379,151,435739,0.06
21389.005,49,240110,0.07
21389.005,49,240110,0.07
21389.005,49,240110,0.07
21389.005,49,240110,0.07
21389.005,49,240110,0.07
21389.005,49,240110,0.07
21389.005,49,240110,0.07
21389.005,49,240110,0.07
21389.005,49,240110,0.07
21389.005,49,240110,0.07
21389.005,49,240110,0.07
21389.005,49,240110,0.07
21389.005,49,240110,0.07
21389.005,49,240110,0.07
21389.005,49,240110,0.07
21389.005,49,240110,0.07
21389.005,49,240110,0.07
21389.005,49,240110,0.07
21389.005,49,240110,0.07
21389.005,49,240110,0.07
21389.005,49,240110,0.06
21389.005,46,240110,0.05
21389.005,46,240110,0.06
21389.005,46,240110,0.06
21389.005,46,240110,0.06
21389.005,46,240110,0.06
21389.005,46,240110,0.06
21389.005,46,240110,0.06
21389.005,46,240110,0.06
21389.005,46,240110,0.06
21389.005,46,240110,0.06
21389.005,46,240110,0.06
21389.005,46,240110,0.06
21389.005,46,240110,0.06
21389.005,46,240110,0.06
21389.005,46,240110,0.06
21389.005,46,240110,0.06
21389.005,46,240110,0.06
21389.005,46,240110,0.06
21389.005,46,240110,0.06
21389.005,46,240110,0.06
21389.005,83,240110,0.05
21389.005,83,240110,0.06
21389.005,83,240110,0.06
21389.005,83,240110,0.06
21389.005,83,240110,0.06
21389.005,83,240110,0.06
21389.005,83,240110,0.06
21389.005,83,240110,0.06
21389.005,83,240110,0.06
21389.005,83,240110,0.06
21389.005,83,240110,0.06
21389.005,83,240110,0.06
21389.005,83,240110,0.06
21389.005,83,240110,0.1
21389.005,83,240110,0.1
21389.005,83,240110,0.1
21389.005,83,240110,0.1
21389.005,83,240110,0.1
21389.005,83,240110,0.1
21389.005,83,240110,0.1
21389.005,83,240110,0.1
21389.005,83,240110,0.1
21571.421,96,460634,0.08
21571.421,96,460634,0.1
21571.421,96,460634,0.1
21571.421,96,460634,0.1
21571.421,96,460634,0.1
21571.421,96,460634,0.1
21571.421,96,460634,0.1
21571.421,96,460634,0.1
21571.421,96,460634,0.1
21571.421,96,460634,0.1
21571.421,96,460634,0.1
21571.421,96,460634,0.1
21571.421,96,460634,0.1
21571.421,96,460634,0.1
21571.421,96,460634,0.1
21571.421,96,460634,0.1
21571.421,96,460634,0.1
21571.421,96,460634,0.1
21571.421,96,460634,0.1
21571.421,96,460634,0.1
21571.421,96,460634,0.1
21571.421,40,460634,0.07
21571.421,40,460634,0.1
21571.421,40,460634,0.1
